"","x"
"1","Admiral Crawford"
"2","Baddeley"
"3","Betsey Price"
"4","Captain Walsh"
"5","Charles"
"6","Charles Anderson"
"7","Charles Maddox"
"8","Charlie Price"
"9","Colonel Harrison"
"10","Dr Grant"
"11","Edmund Bertram"
"12","Ellis"
"13","Fanny Price"
"14","Henry Crawford"
"15","John Groom"
"16","Johnny Price"
"17","Julia Bertram"
"18","Lady Bertram"
"19","Lady Flora Stornaway"
"20","Lady Prescott"
"21","Lady Ravenshaw"
"22","Lord Ravenshaw"
"23","Lord Stornaway"
"24","Maddison"
"25","Margaret Fraser"
"26","Maria Bertram"
"27","Mary Crawford"
"28","Mary Price"
"29","Miss Anderson"
"30","Miss Augusta Sneyd"
"31","Miss Lee"
"32","Mr Campbell"
"33","Mr Fraser"
"34","Mr Green"
"35","Mr Harding"
"36","Mr Price"
"37","Mr Rushworth"
"38","Mrs Brown"
"39","Mrs Chapman"
"40","Mrs Crawford"
"41","Mrs Holford"
"42","Mrs Janet Fraser"
"43","Mrs Jefferies"
"44","Mrs Norris"
"45","Mrs Rushworth"
"46","Mrs Sneyd"
"47","Mrs. Admiral Maxwell"
"48","Mrs. Frances Price"
"49","Nanny"
"50","Old Scholey"
"51","Rebecca"
"52","Richard Price"
"53","Sam Price"
"54","Sir Charles"
"55","Sir Thomas Bertram"
"56","Smith"
"57","Sneyd"
"58","Susan PriceMP"
"59","The Aylmers"
"60","Tom Bertram"
"61","Turner"
"62","William Price"
"63","Tom Oliver"
"64","Robert"
