"","V1","V2"
"1","John Baptist Cavalletto","Madame Barronneau"
"2","John Baptist Cavalletto","Rigaud"
"3","Madame Barronneau","Rigaud"
"4","Arthur Clennam","Harriet Beadle"
"5","Arthur Clennam","Minnie Meagles"
"6","Arthur Clennam","Miss Wade"
"7","Arthur Clennam","Mr Meagles"
"8","Arthur Clennam","Mrs Meagles"
"9","Harriet Beadle","Minnie Meagles"
"10","Harriet Beadle","Miss Wade"
"11","Harriet Beadle","Mr Meagles"
"12","Harriet Beadle","Mrs Meagles"
"13","Minnie Meagles","Miss Wade"
"14","Minnie Meagles","Mr Meagles"
"15","Minnie Meagles","Mrs Meagles"
"16","Miss Wade","Mr Meagles"
"17","Miss Wade","Mrs Meagles"
"18","Mr Meagles","Mrs Meagles"
"19","Affery Flintwinch","Arthur Clennam"
"20","Affery Flintwinch","Jeremiah Flintwinch"
"21","Affery Flintwinch","Mrs Clennam"
"22","Affery Flintwinch","Physician"
"23","Arthur Clennam","Jeremiah Flintwinch"
"24","Arthur Clennam","Mrs Clennam"
"25","Arthur Clennam","Physician"
"26","Jeremiah Flintwinch","Mrs Clennam"
"27","Jeremiah Flintwinch","Physician"
"28","Mrs Clennam","Physician"
"29","Affery Flintwinch","Amy Dorrit"
"30","Amy Dorrit","Arthur Clennam"
"31","Amy Dorrit","Jeremiah Flintwinch"
"32","Amy Dorrit","Mrs Clennam"
"33","Doctor Haggage","Mr William Dorrit"
"34","Doctor Haggage","Mrs Bangham"
"35","Mr William Dorrit","Mrs Bangham"
"36","Amy Dorrit","Bob"
"37","Amy Dorrit","Doctor Haggage"
"38","Amy Dorrit","Edward Dorrit"
"39","Amy Dorrit","Fanny Dorrit"
"40","Amy Dorrit","Mr William Dorrit"
"41","Amy Dorrit","Mrs Bangham"
"42","Amy Dorrit","Slingo"
"43","Arthur Clennam","Bob"
"44","Arthur Clennam","Doctor Haggage"
"45","Arthur Clennam","Edward Dorrit"
"46","Arthur Clennam","Fanny Dorrit"
"47","Arthur Clennam","Mr William Dorrit"
"48","Arthur Clennam","Mrs Bangham"
"49","Arthur Clennam","Slingo"
"50","Bob","Doctor Haggage"
"51","Bob","Edward Dorrit"
"52","Bob","Fanny Dorrit"
"53","Bob","Mr William Dorrit"
"54","Bob","Mrs Bangham"
"55","Bob","Slingo"
"56","Doctor Haggage","Edward Dorrit"
"57","Doctor Haggage","Fanny Dorrit"
"58","Doctor Haggage","Slingo"
"59","Edward Dorrit","Fanny Dorrit"
"60","Edward Dorrit","Mr William Dorrit"
"61","Edward Dorrit","Mrs Bangham"
"62","Edward Dorrit","Slingo"
"63","Fanny Dorrit","Mr William Dorrit"
"64","Fanny Dorrit","Mrs Bangham"
"65","Fanny Dorrit","Slingo"
"66","Mr William Dorrit","Slingo"
"67","Mrs Bangham","Slingo"
"68","Amy Dorrit","Mr Frederick Dorrit"
"69","Arthur Clennam","Mr Frederick Dorrit"
"70","Edward Dorrit","Mr Frederick Dorrit"
"71","Edward Dorrit","Mrs Clennam"
"72","Fanny Dorrit","Mr Frederick Dorrit"
"73","Fanny Dorrit","Mrs Clennam"
"74","Mr Frederick Dorrit","Mr William Dorrit"
"75","Mr Frederick Dorrit","Mrs Clennam"
"76","Mr William Dorrit","Mrs Clennam"
"77","Amy Dorrit","Maggy"
"78","Amy Dorrit","Mr Cripples"
"79","Amy Dorrit","Mr Plornish"
"80","Amy Dorrit","Mr Tite Barnacle"
"81","Arthur Clennam","Maggy"
"82","Arthur Clennam","Mr Cripples"
"83","Arthur Clennam","Mr Plornish"
"84","Arthur Clennam","Mr Tite Barnacle"
"85","Fanny Dorrit","Maggy"
"86","Fanny Dorrit","Mr Cripples"
"87","Fanny Dorrit","Mr Plornish"
"88","Fanny Dorrit","Mr Tite Barnacle"
"89","Maggy","Mr Cripples"
"90","Maggy","Mr Plornish"
"91","Maggy","Mr Tite Barnacle"
"92","Maggy","Mr William Dorrit"
"93","Mr Cripples","Mr Plornish"
"94","Mr Cripples","Mr Tite Barnacle"
"95","Mr Cripples","Mr William Dorrit"
"96","Mr Plornish","Mr Tite Barnacle"
"97","Mr Plornish","Mr William Dorrit"
"98","Mr Tite Barnacle","Mr William Dorrit"
"99","Arthur Clennam","Clarence Barnacle"
"100","Arthur Clennam","Daniel Doyce"
"101","Arthur Clennam","Ferdinand Barnacle"
"102","Arthur Clennam","Mr Wobbler"
"103","Arthur Clennam","Mrs Tite Barnacle"
"104","Clarence Barnacle","Daniel Doyce"
