"","V1","V2"
"1","3","Arthur Clennam"
"2","4","Affery Flintwinch"
"3","4","Jeremiah Flintwinch"
"4","4","Mrs Clennam"
"5","5","Affery Flintwinch"
"6","5","Arthur Clennam"
"7","5","Jeremiah Flintwinch"
"8","5","Mrs Clennam"
"9","7","Amy Dorrit"
"10","7","Arthur Clennam"
"11","7","Doctor Haggage"
"12","7","Mr William Dorrit"
"13","7","Mrs Bangham"
"14","8","Amy Dorrit"
"15","8","Arthur Clennam"
"16","8","Edward Dorrit"
"17","8","Fanny Dorrit"
"18","8","Mr William Dorrit"
"19","8","Mrs Clennam"
"20","9","Amy Dorrit"
"21","9","Arthur Clennam"
"22","9","Fanny Dorrit"
"23","9","Mr William Dorrit"
"24","10","Arthur Clennam"
"25","10","Mr Meagles"
"26","10","Mr Tite Barnacle"
"27","10","Mr William Dorrit"
"28","11","John Baptist Cavalletto"
"29","11","Rigaud"
"30","12","Amy Dorrit"
"31","12","Arthur Clennam"
"32","12","Daniel Doyce"
"33","12","Edward Dorrit"
"34","12","Mr Meagles"
"35","12","Mr Plornish"
"36","12","Mr William Dorrit"
"37","12","Mrs Clennam"
"38","13","Affery Flintwinch"
"39","13","Amy Dorrit"
"40","13","Arthur Clennam"
"41","13","Christopher Casby"
"42","13","Mr Pancks"
"43","13","Mr William Dorrit"
"44","14","Affery Flintwinch"
"45","14","Amy Dorrit"
"46","14","Arthur Clennam"
"47","14","Fanny Dorrit"
"48","14","Jeremiah Flintwinch"
"49","14","Maggy"
"50","14","Mrs Bangham"
"51","14","Mrs Clennam"
"52","15","Affery Flintwinch"
"53","15","Amy Dorrit"
"54","15","Arthur Clennam"
"55","15","Jeremiah Flintwinch"
"56","15","Mrs Clennam"
"57","16","Amy Dorrit"
"58","16","Arthur Clennam"
"59","16","Daniel Doyce"
"60","16","Harriet Beadle"
"61","16","Minnie Meagles"
"62","16","Miss Wade"
"63","16","Mr Meagles"
"64","16","Mrs Meagles"
"65","17","Arthur Clennam"
"66","17","Clarence Barnacle"
"67","17","Daniel Doyce"
"68","17","Ferdinand Barnacle"
"69","17","Minnie Meagles"
"70","17","Mr Meagles"
"71","17","Mrs Meagles"
"72","18","Amy Dorrit"
"73","18","Edward Dorrit"
"74","18","Mr William Dorrit"
"75","19","Amy Dorrit"
"76","19","Mr Frederick Dorrit"
"77","19","Mr John Chivery"
"78","19","Mr William Dorrit"
"79","20","Amy Dorrit"
"80","20","Arthur Clennam"
"81","20","Edward Dorrit"
"82","20","Fanny Dorrit"
"83","20","Maggy"
"84","20","Mr Cripples"
"85","20","Mr John Chivery"
"86","20","Mr Plornish"
"87","20","Mr William Dorrit"
"88","21","Amy Dorrit"
"89","21","Mr Merdle"
"90","21","Mrs Merdle"
"91","21","Physician"
"92","22","Amy Dorrit"
"93","22","Arthur Clennam"
"94","22","Maggy"
"95","22","Mr John Chivery"
"96","22","Mr William Dorrit"
"97","22","Mrs Chivery"
"98","23","Amy Dorrit"
"99","23","Arthur Clennam"
"100","23","Christopher Casby"
"101","23","Daniel Doyce"
"102","23","Flora Finching"
"103","23","Mr Meagles"
"104","23","Mr Pancks"
"105","23","Mr Plornish"
"106","23","Mr William Dorrit"
"107","23","Mrs Plornish"
"108","24","Amy Dorrit"
"109","24","Arthur Clennam"
"110","24","Christopher Casby"
"111","24","Edward Dorrit"
"112","24","Flora Finching"
"113","24","Maggy"
"114","24","Mr Pancks"
"115","24","Mr Plornish"
"116","24","Mrs Clennam"
"117","25","Arthur Clennam"
"118","25","John Baptist Cavalletto"
"119","25","Lord Decimus Tite Barnacle"
"120","25","Mr John Chivery"
"121","25","Mr Pancks"
"122","25","Mrs Chivery"
"123","25","Mrs Plornish"
"124","26","Arthur Clennam"
"125","26","Clarence Barnacle"
"126","26","Daniel Doyce"
"127","26","Henry Gowan"
"128","26","Minnie Meagles"
"129","26","Mr Meagles"
"130","27","Amy Dorrit"
"131","27","Arthur Clennam"
"132","27","Harriet Beadle"
"133","27","Henry Gowan"
"134","27","Minnie Meagles"
"135","27","Miss Wade"
"136","27","Mr Meagles"
"137","27","Mr Pancks"
"138","27","Mrs Gowan"
"139","27","Mrs Tickit"
"140","28","Arthur Clennam"
"141","28","Daniel Doyce"
"142","28","Harriet Beadle"
"143","28","Henry Gowan"
"144","28","Minnie Meagles"
"145","28","Miss Wade"
"146","28","Mr Meagles"
"147","28","Mrs Meagles"
"148","29","Affery Flintwinch"
"149","29","Amy Dorrit"
"150","29","Arthur Clennam"
"151","29","Christopher Casby"
"152","29","Flora Finching"
"153","29","Jeremiah Flintwinch"
"154","29","Mr Pancks"
"155","29","Mrs Clennam"
"156","30","Affery Flintwinch"
"157","30","Arthur Clennam"
"158","30","Jeremiah Flintwinch"
"159","30","Mrs Clennam"
"160","30","Rigaud"
"161","31","Amy Dorrit"
"162","31","Arthur Clennam"
"163","31","Edward Dorrit"
"164","31","Fanny Dorrit"
"165","31","Maggy"
"166","31","Mr John Chivery"
"167","31","Mr Plornish"
"168","31","Mr William Dorrit"
"169","31","Mrs Plornish"
