"node_id" "tags" "dpub"
"1" "1" "CatherineMorland, GeorgeMorland, HarrietMorland, JamesMorland, LittleRichardMorland, MrAllen, MrRichardMorland, SarahMoreland" "1"
"2" "2" "CatherineMorland, GeorgeParry, JamesMorland, MrAllen, MrsAllen, SarahMoreland" "2"
"3" "3" "CatherineMorland, MrAllen, MrHenryTilney, MrKing, MrsAllen" "3"
"4" "4" "AnneThorpe, CatherineMorland, EdwardThorpe, IsabellaThorpe, JamesMorland, JohnThorpe, MariaThorpe, MrAllen, MrHenryTilney, MrsAllen, MrsThorpe, WilliamThorpe" "4"
"5" "5" "AnneThorpe, IsabellaThorpe, JohnThorpe, MariaThorpe, MrAllen, MrHenryTilney, MrsAllen, MrsThorpe" "5"
"6" "6" "CaptainHunt, IsabellaThorpe, JamesMorland, MissAndrews, MrHenryTilney" "6"
"7" "7" "AnneThorpe, CatherineMorland, Freeman, IsabellaThorpe, Jackson, JamesMorland, JohnThorpe, MariaThorpe, MrAllen, MrsAllen, MrsThorpe" "7"
"8" "8" "AnneThorpe, CatherineMorland, EleanorTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MariaThorpe, MrAllen, MrHenryTilney, MrsAllen, MrsHughes, MrsThorpe" "8"
"9" "9" "CatherineMorland, EleanorTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MrAllen, MrDrummond, MrHenryTilney, MrsAllen, MrsHughes, MrsThorpe, MrsTilney" "9"
"10" "10" "AnneThorpe, EleanorTilney, GeneralTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MariaThorpe, MrAllen, MrHenryTilney, MrsAllen, MrsHughes, MrsThorpe" "10"
"11" "11" "CatherineMorland, EleanorTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MrAllen, MrHenryTilney, MrsAllen" "11"
"12" "12" "EleanorTilney, GeneralTilney, IsabellaThorpe, JohnThorpe, MrAllen, MrHenryTilney, MrsAllen" "12"
"13" "13" "EleanorTilney, GeneralTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MrAllen, MrHenryTilney, MrsAllen, MrsThorpe, William" "13"
"14" "14" "AnneThorpe, CaptainFrederickTilney, CatherineMorland, EleanorTilney, Emily, GeorgeMorland, IsabellaThorpe, JamesMorland, JohnThorpe, MariaThorpe, MrAllen, MrHenryTilney, MrsAllen, Sophia" "14"
"15" "15" "AnneThorpe, CatherineMorland, EleanorTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MariaThorpe, MissAndrews, MrAllen, MrsAllen, MrsThorpe" "15"
"16" "16" "CaptainFrederickTilney, CharlesHodges, EleanorTilney, GeneralTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MrHenryTilney, MrsHughes, MrsThorpe" "16"
"17" "17" "CatherineMorland, EleanorTilney, GeneralCourteney, GeneralTilney, IsabellaThorpe, JamesMorland, MarquisofLongtown, MrAllen, MrHenryTilney, MrRichardMorland, MrsAllen" "17"
"18" "18" "CaptainFrederickTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MrHenryTilney, MrsAllen" "18"
"19" "19" "AnneThorpe, CaptainFrederickTilney, CatherineMorland, IsabellaThorpe, JamesMorland, JohnThorpe, MariaThorpe, MrHenryTilney, MrsThorpe" "19"
"20" "20" "CaptainFrederickTilney, CatherineMorland, Dorothy, EleanorTilney, GeneralTilney, IsabellaThorpe, MrAllen, MrHenryTilney, MrsAllen, William" "20"
"21" "21" "CatherineMorland, EleanorTilney, GeneralTilney, MrAllen, MrHenryTilney" "21"
"22" "22" "CaptainFrederickTilney, CatherineMorland, EleanorTilney, MrAllen, MrHenryTilney, MrsAllen, MrsTilney" "22"
"23" "23" "CatherineMorland, EleanorTilney, MrHenryTilney, MrsAllen, MrsTilney" "23"
"24" "24" "CaptainFrederickTilney, CatherineMorland, EleanorTilney, IsabellaThorpe, MrHenryTilney, MrsTilney" "24"
"25" "25" "CaptainFrederickTilney, EleanorTilney, IsabellaThorpe, JamesMorland, JohnThorpe, MrHenryTilney, MrRichardMorland, MrsAllen" "25"
"26" "26" "CaptainFrederickTilney, CatherineMorland, EleanorTilney, IsabellaThorpe, MrHenryTilney" "26"
"27" "27" "AnneMitchell, CaptainFrederickTilney, CharlesHodges, EleanorTilney, IsabellaThorpe, JamesMorland, MrHenryTilney" "27"
"28" "28" "CaptainFrederickTilney, CatherineMorland, EleanorTilney, GeneralTilney, IsabellaThorpe, JamesMorland, LadyAliceLongtown, MarquisofLongtown, MrAllen, MrHenryTilney, MrRichardMorland, MrsAllen" "28"
"29" "29" "EleanorTilney, GeneralTilney, GeorgeMorland, HarrietMorland, IsabellaThorpe, JamesMorland, MrAllen, MrHenryTilney, MrRichardMorland, MrsAllen, MrsThorpe, SarahMoreland" "29"
"30" "30" "CatherineMorland, EleanorTilney, GeneralTilney, IsabellaThorpe, JamesMorland, JohnThorpe, LittleRichardMorland, MrAllen, MrHenryTilney, MrsAllen, SarahMoreland" "30"
"31" "31" "EleanorTilney, JamesMorland, JohnThorpe, MrHenryTilney, MrRichardMorland, TheViscount" "31"
