"","V1","V2"
"1","3","Joe"
"2","4","Jerry Cruncher"
"3","4","Jarvis Lorry"
"4","8","Jarvis Lorry"
"5","9","Doctor Manette"
"6","9","Jarvis Lorry"
"7","10","Doctor Manette"
"8","10","Jarvis Lorry"
"9","11","Doctor Manette"
"10","11","Jarvis Lorry"
"11","12","Doctor Manette"
"12","12","Jarvis Lorry"
"13","14","Thérèse Defarge"
"14","15","Ernest Defarge"
"15","15","Jarvis Lorry"
"16","16","Ernest Defarge"
"17","16","Jarvis Lorry"
"18","15","Doctor Manette"
"19","18","Ernest Defarge"
"20","18","Jarvis Lorry"
"21","19","Jarvis Lorry"
"22","19","Doctor Manette"
"23","19","Ernest Defarge"
"24","20","Jarvis Lorry"
"25","15","Thérèse Defarge"
"26","6","Jerry Cruncher"
"27","23","Jerry Cruncher"
"28","24","Jerry Cruncher"
"29","24","Young Jerry Cruncher"
"30","21","Jarvis Lorry"
"31","25","Jerry Cruncher"
"32","26","Jarvis Lorry"
"33","26","Jerry Cruncher"
"34","27","Jerry Cruncher"
"35","27","Jarvis Lorry"
"36","21","Doctor Manette"
"37","29","Jarvis Lorry"
"38","30","Doctor Manette"
"39","28","Jerry Cruncher"
"40","30","Roger Cly"
"41","29","Solomon Pross"
"42","31","Doctor Manette"
"43","30","Jarvis Lorry"
"44","32","Jerry Cruncher"
"45","32","Sydney Carton"
"46","27","Charles St Evrémonde"
"47","33","Doctor Manette"
"48","33","Jarvis Lorry"
"49","32","Mr Stryver"
"50","33","Sydney Carton"
"51","34","Charles St Evrémonde"
"52","34","Doctor Manette"
"53","34","Jarvis Lorry"
"54","34","Sydney Carton"
"55","35","Charles St Evrémonde"
"56","34","Mr Stryver"
"57","35","Sydney Carton"
"58","35","Doctor Manette"
"59","37","Mr Stryver"
"60","37","Sydney Carton"
"61","38","Doctor Manette"
"62","35","Jarvis Lorry"
"63","34","Lucie Manette"
"64","40","Doctor Manette"
"65","40","Jarvis Lorry"
"66","40","Lucie Manette"
"67","40","Miss Pross"
"68","32","Solomon Pross"
"69","41","Doctor Manette"
"70","41","Jarvis Lorry"
"71","41","Lucie Manette"
"72","41","Miss Pross"
"73","36","Charles St Evrémonde"
"74","42","Doctor Manette"
"75","42","Jarvis Lorry"
"76","42","Lucie Manette"
"77","42","Miss Pross"
"78","38","Sydney Carton"
"79","43","Charles St Evrémonde"
"80","43","Doctor Manette"
"81","43","Jarvis Lorry"
"82","33","Jerry Cruncher"
"83","43","Lucie Manette"
"84","43","Sydney Carton"
"85","45","Marquis St Evrémonde II"
"86","21","Ernest Defarge"
"87","46","Marquis St Evrémonde II"
"88","47","Marquis St Evrémonde II"
"89","48","Marquis St Evrémonde II"
"90","44","Charles St Evrémonde"
"91","49","Marquis St Evrémonde II"
"92","49","Théophile Gabelle"
"93","50","Charles St Evrémonde"
"94","50","Marquis St Evrémonde II"
"95","51","Marquis St Evrémonde II"
"96","51","Charles St Evrémonde"
"97","52","Marquis St Evrémonde II"
"98","53","Marquis St Evrémonde II"
"99","50","Théophile Gabelle"
"100","15","Jacques"
"101","54","Marquis St Evrémonde II"
"102","53","Charles St Evrémonde"
"103","44","Doctor Manette"
"104","44","Lucie Manette"
"105","43","Miss Pross"
"106","38","Mr Stryver"
"107","44","Sydney Carton"
"108","56","Charles St Evrémonde"
"109","56","Doctor Manette"
"110","56","Lucie Manette"
"111","57","Charles St Evrémonde"
"112","57","Doctor Manette"
"113","57","Lucie Manette"
"114","56","Miss Pross"
"115","56","Mr Stryver"
"116","56","Sydney Carton"
"117","58","Doctor Manette"
"118","58","Mr Stryver"
"119","58","Sydney Carton"
"120","59","Doctor Manette"
"121","59","Mr Stryver"
"122","59","Sydney Carton"
"123","60","Doctor Manette"
"124","44","Jarvis Lorry"
"125","60","Mr Stryver"
"126","61","Doctor Manette"
"127","61","Jarvis Lorry"
"128","61","Mr Stryver"
"129","62","Jarvis Lorry"
"130","62","Mr Stryver"
"131","62","Doctor Manette"
"132","58","Lucie Manette"
"133","63","Mr Stryver"
"134","60","Sydney Carton"
"135","64","Doctor Manette"
"136","64","Lucie Manette"
"137","64","Sydney Carton"
"138","44","Jerry Cruncher"
"139","24","Mrs Cruncher"
"140","32","Roger Cly"
"141","66","Jerry Cruncher"
"142","66","Mrs Cruncher"
"143","66","Roger Cly"
"144","67","Jerry Cruncher"
"145","67","Mrs Cruncher"
"146","68","Jerry Cruncher"
