"","Character","Node","Type","Appearances"
"1","Alphonse",116,"First Appearance",2
"2","Alphonse",154,"Last Appearance",2
"3","Arthur Gride",361,"Last Appearance",34
"4","Arthur Gride",264,"First Appearance",34
"5","Augustus Borum",135,"Last Appearance",1
"6","Augustus Borum",135,"First Appearance",1
"7","Baron Von Koeldwethout",358,"Last Appearance",5
"8","Baron Von Koeldwethout",31,"First Appearance",5
"9","Baron Von Swillenhausen",33,"Last Appearance",2
"10","Baron Von Swillenhausen",32,"First Appearance",2
"11","Baroness Von Koeldwethout",33,"Last Appearance",2
"12","Baroness Von Koeldwethout",32,"First Appearance",2
"13","Baroness Von Swillenhausen",33,"Last Appearance",1
"14","Baroness Von Swillenhausen",33,"First Appearance",1
"15","Belling",23,"Last Appearance",3
"16","Belling",18,"First Appearance",3
"17","Bolder",47,"Last Appearance",3
"18","Bolder",38,"First Appearance",3
"19","Captain Adams",288,"Last Appearance",2
"20","Captain Adams",287,"First Appearance",2
"21","Cecilia Bobster",293,"Last Appearance",2
"22","Cecilia Bobster",225,"First Appearance",2
"23","Charles Cheeryble",361,"Last Appearance",41
"24","Charles Cheeryble",2,"First Appearance",41
"25","Charlotte Borum",135,"Last Appearance",1
"26","Charlotte Borum",135,"First Appearance",1
"27","Cobbey",43,"First Appearance",2
"28","Cobbey",324,"Last Appearance",2
"29","Colonel Chowser",286,"Last Appearance",3
"30","Colonel Chowser",103,"First Appearance",3
"31","David",205,"Last Appearance",1
"32","David",205,"First Appearance",1
"33","Dick",361,"Last Appearance",3
"34","Dick",202,"First Appearance",3
"35","Doctor Lumbey",200,"Last Appearance",3
"36","Doctor Lumbey",198,"First Appearance",3
"37","Dorker",18,"Last Appearance",1
"38","Dorker",18,"First Appearance",1
"39","Edwin Cheeryble",361,"Last Appearance",35
"40","Edwin Cheeryble",2,"First Appearance",35
"41","Fanny Squeers",360,"Last Appearance",23
"42","Fanny Squeers",46,"First Appearance",23
"43","Fluggers",166,"Last Appearance",1
"44","Fluggers",166,"First Appearance",1
"45","Frank Cheeryble",361,"Last Appearance",26
"46","Frank Cheeryble",241,"First Appearance",26
"47","Graymarsh",43,"Last Appearance",2
"48","Graymarsh",38,"First Appearance",2
"49","Hannah",11,"Last Appearance",1
"50","Hannah",11,"First Appearance",1
"51","Henrietta Petowker",298,"Last Appearance",18
"52","Henrietta Petowker",74,"First Appearance",18
"53","Henry Wititterly",116,"First Appearance",8
"54","Henry Wititterly",182,"Last Appearance",8
"55","Horatio Peltirogus",314,"Last Appearance",1
"56","Horatio Peltirogus",314,"First Appearance",1
"57","Jane Dibabs",312,"Last Appearance",2
"58","Jane Dibabs",99,"First Appearance",2
"59","John Browdie",360,"Last Appearance",34
